method,attention,type,prompt_index,prompt_text,image_path,clip_new_prompt_sim,clip_old_image_sim,clip_old_image_distance
baseline,none,0-animal,1,A photo of a cat riding a bicycle,data/baseline/0-animal/1.png,0.375362753868103,0.8810647130012512,0.48771974444389343
baseline,none,0-animal,2,A photo of a dog riding a bicycle,data/baseline/0-animal/2.png,0.2677795886993408,0.6644372940063477,0.8192224502563477
baseline,none,0-animal,3,A photo of a lion riding a bicycle,data/baseline/0-animal/3.png,0.3850078284740448,0.8516625761985779,0.5446786880493164
baseline,none,0-animal,4,A photo of a tiger riding a bicycle,data/baseline/0-animal/4.png,0.42803892493247986,0.7661337852478027,0.6839097142219543
baseline,none,0-animal,5,A photo of a rabbit riding a bicycle,data/baseline/0-animal/5.png,0.41144734621047974,0.5795438289642334,0.9170128703117371
baseline,none,0-animal,6,A photo of a panda riding a bicycle,data/baseline/0-animal/6.png,0.26837587356567383,0.6007472276687622,0.8935914635658264
baseline,none,0-animal,7,A photo of a fox riding a bicycle,data/baseline/0-animal/7.png,0.3646182119846344,0.8677759766578674,0.5142452120780945
baseline,none,0-animal,8,A photo of a wolf riding a bicycle,data/baseline/0-animal/8.png,0.37544912099838257,0.894365668296814,0.45964014530181885
baseline,none,0-animal,9,A photo of a monkey riding a bicycle,data/baseline/0-animal/9.png,0.4148712754249573,0.72050940990448,0.7476505637168884
baseline,none,0-animal,10,A photo of an elephant riding a bicycle,data/baseline/0-animal/10.png,0.2564464509487152,0.5902417898178101,0.9052715301513672
baseline,none,1-clothes,1,A portrait of a woman wearing a jacket,data/baseline/1-clothes/1.png,0.25420576333999634,0.7771438956260681,0.6676167845726013
baseline,none,1-clothes,2,A portrait of a woman wearing a sweater,data/baseline/1-clothes/2.png,0.28797757625579834,0.6412675380706787,0.8470327854156494
baseline,none,1-clothes,3,A portrait of a woman wearing a skirt,data/baseline/1-clothes/3.png,0.21655763685703278,0.6764458417892456,0.8044301867485046
baseline,none,1-clothes,4,A portrait of a woman wearing a coat,data/baseline/1-clothes/4.png,0.23748421669006348,0.5951000452041626,0.8998886942863464
baseline,none,1-clothes,5,A portrait of a woman wearing a shirt,data/baseline/1-clothes/5.png,0.2582683265209198,0.7695137858390808,0.6789494156837463
baseline,none,1-clothes,6,A portrait of a woman wearing a scarf,data/baseline/1-clothes/6.png,0.34275051951408386,0.837067723274231,0.570845365524292
baseline,none,1-clothes,7,A portrait of a woman wearing a hoodie,data/baseline/1-clothes/7.png,0.34953561425209045,0.40436309576034546,1.0914548635482788
baseline,none,1-clothes,8,A portrait of a woman wearing a blouse,data/baseline/1-clothes/8.png,0.2761850953102112,0.8616631627082825,0.5259976387023926
baseline,none,1-clothes,9,A portrait of a woman wearing a suit,data/baseline/1-clothes/9.png,0.30113428831100464,0.6797381043434143,0.8003271818161011
