method,attention,type,prompt_index,prompt_text,image_path,clip_new_prompt_sim,clip_old_image_sim,dino_struct_dist
baseline,none,0-animal,1,A photo of a cat riding a bicycle,data_new/baseline/0-animal/1.png,0.3174087405204773,0.8938950896263123,0.035309165716171265
baseline,none,0-animal,2,A photo of a dog riding a bicycle,data_new/baseline/0-animal/2.png,0.26115018129348755,0.7673993110656738,0.0333552323281765
baseline,none,0-animal,3,A photo of a lion riding a bicycle,data_new/baseline/0-animal/3.png,0.3218408226966858,0.8656452298164368,0.0364660769701004
baseline,none,0-animal,4,A photo of a tiger riding a bicycle,data_new/baseline/0-animal/4.png,0.3759469985961914,0.8517652750015259,0.02076360210776329
baseline,none,0-animal,5,A photo of a rabbit riding a bicycle,data_new/baseline/0-animal/5.png,0.34850192070007324,0.7759848833084106,0.0749177485704422
baseline,none,0-animal,6,A photo of a panda riding a bicycle,data_new/baseline/0-animal/6.png,0.2883201241493225,0.8106018900871277,0.053476423025131226
baseline,none,0-animal,7,A photo of a fox riding a bicycle,data_new/baseline/0-animal/7.png,0.33258867263793945,0.8871219158172607,0.033046744763851166
baseline,none,0-animal,8,A photo of a wolf riding a bicycle,data_new/baseline/0-animal/8.png,0.3405200242996216,0.8966226577758789,0.02675778605043888
baseline,none,0-animal,9,A photo of a monkey riding a bicycle,data_new/baseline/0-animal/9.png,0.3819870054721832,0.8006743788719177,0.04343392699956894
baseline,none,0-animal,10,A photo of an elephant riding a bicycle,data_new/baseline/0-animal/10.png,0.30836525559425354,0.7761073708534241,0.056653913110494614
baseline,none,1-clothes,1,A portrait of a woman wearing a jacket,data_new/baseline/1-clothes/1.png,0.28931906819343567,0.8296483755111694,0.03867369145154953
baseline,none,1-clothes,2,A portrait of a woman wearing a sweater,data_new/baseline/1-clothes/2.png,0.3148137032985687,0.7497614622116089,0.07852753251791
baseline,none,1-clothes,3,A portrait of a woman wearing a skirt,data_new/baseline/1-clothes/3.png,0.255828320980072,0.74653559923172,0.07348445802927017
baseline,none,1-clothes,4,A portrait of a woman wearing a coat,data_new/baseline/1-clothes/4.png,0.2500510811805725,0.6667076349258423,0.07754138857126236
baseline,none,1-clothes,5,A portrait of a woman wearing a shirt,data_new/baseline/1-clothes/5.png,0.2410101592540741,0.8255783915519714,0.052803851664066315
baseline,none,1-clothes,6,A portrait of a woman wearing a scarf,data_new/baseline/1-clothes/6.png,0.36861732602119446,0.8792118430137634,0.04131486639380455
baseline,none,1-clothes,7,A portrait of a woman wearing a hoodie,data_new/baseline/1-clothes/7.png,0.3120836019515991,0.5900589227676392,0.09057161211967468
baseline,none,1-clothes,8,A portrait of a woman wearing a blouse,data_new/baseline/1-clothes/8.png,0.2910672426223755,0.9147864580154419,0.02646440640091896
baseline,none,1-clothes,9,A portrait of a woman wearing a suit,data_new/baseline/1-clothes/9.png,0.28766822814941406,0.7247045040130615,0.038967378437519073
baseline,none,1-clothes,10,A portrait of a woman wearing a vest,data_new/baseline/1-clothes/10.png,0.2701771557331085,0.7724450826644897,0.048858605325222015
baseline,none,2-color,1,A bear holding a red balloon.,data_new/baseline/2-color/1.png,0.3573262095451355,0.8462029695510864,0.18451768159866333
baseline,none,2-color,2,A bear holding a yellow balloon.,data_new/baseline/2-color/2.png,0.3884040117263794,0.8380842804908752,0.14378595352172852
baseline,none,2-color,3,A bear holding a black balloon.,data_new/baseline/2-color/3.png,0.3712817430496216,0.8250255584716797,0.12607252597808838
baseline,none,2-color,4,A bear holding a pink balloon.,data_new/baseline/2-color/4.png,0.3562272787094116,0.8991311192512512,0.17549268901348114
baseline,none,2-color,5,A bear holding a white balloon.,data_new/baseline/2-color/5.png,0.32535791397094727,0.9001783728599548,0.11530044674873352
baseline,none,2-color,6,A bear holding a green balloon.,data_new/baseline/2-color/6.png,0.3405967950820923,0.9003497362136841,0.1172969862818718
baseline,none,2-color,7,A bear holding a purple balloon.,data_new/baseline/2-color/7.png,0.35172441601753235,0.9109352827072144,0.14189764857292175
baseline,none,2-color,8,A bear holding a orange balloon.,data_new/baseline/2-color/8.png,0.3601686954498291,0.884143590927124,0.20818379521369934
baseline,none,2-color,9,A bear holding a gray balloon.,data_new/baseline/2-color/9.png,0.34301626682281494,0.8932766318321228,0.07962706685066223
baseline,none,2-color,10,A bear holding a brown balloon.,data_new/baseline/2-color/10.png,0.35776662826538086,0.8988120555877686,0.11005693674087524
baseline,none,3-decorates,1,A cake decorated with strawberries,data_new/baseline/3-decorates/1.png,0.32522153854370117,0.8229941129684448,0.07891301065683365
baseline,none,3-decorates,2,A cake decorated with blueberries,data_new/baseline/3-decorates/2.png,0.32262852787971497,0.9033564329147339,0.05764591693878174
baseline,none,3-decorates,3,A cake decorated with cream,data_new/baseline/3-decorates/3.png,0.2919018268585205,0.8155979514122009,0.0892944261431694
baseline,none,3-decorates,4,A cake decorated with sprinkles,data_new/baseline/3-decorates/4.png,0.3431170880794525,0.8276357650756836,0.08735905587673187
baseline,none,3-decorates,5,A cake decorated with almonds,data_new/baseline/3-decorates/5.png,0.33979782462120056,0.7950837016105652,0.08584021776914597
baseline,none,3-decorates,6,A cake decorated with cherries,data_new/baseline/3-decorates/6.png,0.3512561321258545,0.8661125898361206,0.07666600495576859
baseline,none,3-decorates,7,A cake decorated with mints,data_new/baseline/3-decorates/7.png,0.318544864654541,0.7783589959144592,0.11597004532814026
baseline,none,3-decorates,8,A cake decorated with macarons,data_new/baseline/3-decorates/8.png,0.3449876606464386,0.8617635369300842,0.08627845346927643
baseline,none,3-decorates,9,A cake decorated with caramel,data_new/baseline/3-decorates/9.png,0.2989484667778015,0.795353889465332,0.10628204792737961
baseline,none,3-decorates,10,A cake decorated with raspberries,data_new/baseline/3-decorates/10.png,0.2910572290420532,0.8684992790222168,0.08506583422422409
baseline,none,4-food,1,A painting of a girl holding an apple,data_new/baseline/4-food/1.png,0.365547239780426,0.774658203125,0.06696528941392899
baseline,none,4-food,2,A painting of a girl holding a grape,data_new/baseline/4-food/2.png,0.3840012550354004,0.7316477298736572,0.07574737817049026
baseline,none,4-food,3,A painting of a girl holding a pineapple,data_new/baseline/4-food/3.png,0.40477320551872253,0.7570993900299072,0.07400380074977875
baseline,none,4-food,4,A painting of a girl holding a watermelon,data_new/baseline/4-food/4.png,0.3704724907875061,0.7878726720809937,0.060471709817647934
baseline,none,4-food,5,A painting of a girl holding a mango,data_new/baseline/4-food/5.png,0.33255791664123535,0.7123358845710754,0.058875031769275665
baseline,none,4-food,6,A painting of a girl holding a strawberry,data_new/baseline/4-food/6.png,0.3806082606315613,0.7516055107116699,0.06629396975040436
baseline,none,4-food,7,A painting of a girl holding a peach,data_new/baseline/4-food/7.png,0.36081463098526,0.815683126449585,0.07582361996173859
baseline,none,4-food,8,A painting of a girl holding a papaya,data_new/baseline/4-food/8.png,0.34705299139022827,0.7899359464645386,0.04812264442443848
baseline,none,4-food,9,A painting of a girl holding a kiwi,data_new/baseline/4-food/9.png,0.31602880358695984,0.7296651601791382,0.060188762843608856
baseline,none,4-food,10,A painting of a girl holding an orange,data_new/baseline/4-food/10.png,0.3608393371105194,0.8044169545173645,0.06910163909196854
baseline,none,5-object,1,A photo of a book on the table,data_new/baseline/5-object/1.png,0.2519274950027466,0.853283703327179,0.09137440472841263
baseline,none,5-object,2,A photo of a cup on the table,data_new/baseline/5-object/2.png,0.31619811058044434,0.8114607930183411,0.11296460032463074
baseline,none,5-object,3,A photo of a lamp on the table,data_new/baseline/5-object/3.png,0.3049667179584503,0.8474713563919067,0.10331172496080399
baseline,none,5-object,4,A photo of a phone on the table,data_new/baseline/5-object/4.png,0.32337963581085205,0.6440786123275757,0.12123075127601624
baseline,none,5-object,5,A photo of a chair on the table,data_new/baseline/5-object/5.png,0.30054575204849243,0.814581036567688,0.08442427963018417
baseline,none,5-object,6,A photo of a table on the table,data_new/baseline/5-object/6.png,0.2575444281101227,0.7215065956115723,0.14234989881515503
baseline,none,5-object,7,A photo of a pen on the table,data_new/baseline/5-object/7.png,0.2900181710720062,0.8218008875846863,0.22473642230033875
baseline,none,5-object,8,A photo of a key on the table,data_new/baseline/5-object/8.png,0.2827998399734497,0.7065277695655823,0.15371949970722198
baseline,none,5-object,9,A photo of a bag on the table,data_new/baseline/5-object/9.png,0.29504773020744324,0.8138575553894043,0.07259780168533325
baseline,none,5-object,10,A photo of a clock on the table,data_new/baseline/5-object/10.png,0.28507348895072937,0.6881126761436462,0.1368275135755539
baseline,none,6-plants,1,A drawing of a garden filled with roses,data_new/baseline/6-plants/1.png,0.32047364115715027,0.7579076290130615,0.09264038503170013
baseline,none,6-plants,2,A drawing of a garden filled with tulips,data_new/baseline/6-plants/2.png,0.2761222720146179,0.842668890953064,0.041727907955646515
baseline,none,6-plants,3,A drawing of a garden filled with daisies,data_new/baseline/6-plants/3.png,0.35347142815589905,0.8746703267097473,0.07367304712533951
baseline,none,6-plants,4,A drawing of a garden filled with lavender,data_new/baseline/6-plants/4.png,0.2863757014274597,0.7500096559524536,0.08558643609285355
baseline,none,6-plants,5,A drawing of a garden filled with lotus,data_new/baseline/6-plants/5.png,0.3319251537322998,0.7666076421737671,0.09713426977396011
baseline,none,6-plants,6,A drawing of a garden filled with orchids,data_new/baseline/6-plants/6.png,0.27547702193260193,0.7671633958816528,0.11838077753782272
baseline,none,6-plants,7,A drawing of a garden filled with peonies,data_new/baseline/6-plants/7.png,0.30937904119491577,0.778526246547699,0.0998266190290451
baseline,none,6-plants,8,A drawing of a garden filled with violets,data_new/baseline/6-plants/8.png,0.2933366596698761,0.6817820072174072,0.09542623162269592
baseline,none,6-plants,9,A drawing of a garden filled with carnations,data_new/baseline/6-plants/9.png,0.30068129301071167,0.9466807842254639,0.02141455188393593
